traj,symbol,$\frac{1}{T_{1}}$,$\frac{1}{T_{2}}$,$\frac{1}{T_{iso}}$,$\tau_{c}$,$\langle V(0)^2\rangle$
1,I,7645.8759280409695,10066.53447774621,9259.648294511131,0.4233292612321456,1.3242690427052943
mean,,7645.8759280409695,10066.53447774621,9259.648294511131,0.4233292612321456,1.3242690427052943
err,,,,,,
