,symbol,x,y,z,frame
101,H,-0.122452D+02,-0.211350D+02,-0.111640D+02,0
102,O,0.903788D+01,-0.173461D+01,-0.475568D+01,0
103,H,-0.697301D+01,0.955202D+01,-0.977566D+01,0
104,H,0.136048D+02,0.239449D+01,0.162703D+02,0
105,O,0.782952D+01,-0.478512D+00,0.173273D+01,0
106,H,0.193198D+01,-0.302996D+01,-0.646601D+01,0
107,H,0.919037D+01,-0.294232D+02,0.304789D+01,0
108,O,-0.674753D+01,0.274638D+01,-0.660995D+01,0
109,H,-0.205519D+02,-0.281695D+01,-0.149456D+02,0
110,H,0.112882D+02,0.613227D+01,-0.800646D+01,0
111,O,-0.830659D+01,0.114264D+01,-0.255836D+01,0
112,H,-0.238434D+02,0.340070D+02,-0.469461D+01,0
113,H,-0.312074D+02,0.129007D+02,0.204560D+01,0
114,O,0.386750D+00,-0.402906D+01,0.576255D+00,0
115,H,0.204218D+01,-0.148317D+01,-0.764879D+01,0
116,H,0.420711D+02,0.934611D+01,-0.183321D+02,0
117,O,-0.869841D+00,0.101848D+01,-0.445054D+01,0
118,H,-0.399880D+02,-0.348088D+01,-0.288078D+01,0
119,H,0.195899D+02,-0.164498D+02,-0.135457D+02,0
120,O,-0.780392D+00,-0.111830D+00,0.347397D+01,0
121,H,-0.150558D+01,0.513459D+01,0.131505D+02,0
122,H,-0.228154D+01,-0.111895D+02,0.258147D+02,0
123,O,0.706843D+01,-0.490914D+01,-0.973295D+01,0
124,H,-0.141789D+02,-0.240725D+02,-0.111855D+02,0
125,H,0.113540D+02,0.333707D+01,-0.424930D+01,0
126,O,-0.328832D+01,-0.762419D+00,0.611403D+00,0
127,H,0.941821D+01,0.208814D+02,0.854332D+01,0
128,H,0.473512D+01,0.105466D+02,-0.151584D+02,0
129,O,0.252897D+01,0.510791D+01,0.247266D-01,0
130,H,0.289905D+02,-0.424856D+01,0.102007D+02,0
131,H,-0.138557D+01,-0.484192D+00,0.164132D+02,0
132,O,0.241821D+01,-0.771537D+01,0.573806D+01,0
133,H,0.427693D+01,-0.870750D+01,-0.166352D+02,0
134,H,-0.106797D+02,0.201072D+02,-0.735739D+00,0
135,O,0.891780D+01,-0.106377D+01,0.375012D+00,0
136,H,-0.455473D+02,0.369244D+01,0.271382D+02,0
137,H,0.389396D+01,0.148222D+02,0.362210D+01,0
138,O,-0.500941D+01,-0.573364D+01,-0.638846D+00,0
139,H,0.240489D+02,0.296825D+02,0.903150D+01,0
140,H,-0.131599D+02,-0.563644D+01,-0.965037D+01,0
141,O,0.165625D+01,-0.711938D+01,0.344722D+01,0
142,H,0.262018D+02,0.145583D+02,-0.420344D+01,0
143,H,0.280003D+02,0.127859D+02,-0.785510D+01,0
144,O,0.108039D+02,0.927306D+00,-0.891501D+00,0
145,H,-0.197817D+01,-0.363229D+02,0.279503D+01,0
146,H,-0.975234D+01,0.109511D+02,-0.647838D+01,0
147,O,-0.148367D+01,-0.225979D+01,0.134741D+01,0
148,H,-0.924626D+01,0.409965D+01,-0.538350D+01,0
149,H,-0.215383D+02,-0.137220D+02,-0.173517D+01,0
